word,particle,conjugation
만나다,None,만나서
만나다,과,만나서
만나다,와,만나서
만나다,이,만나야
만나다,가,만나야
만나다,을,만나서
만나다,를,만나서
만나다,문장 끝,만납니다
반갑다,None,반갑습니다
반갑다,에,반갑습니다
반갑다,이,반가워요
반갑다,문장 끝,반갑습니다
예,None,네
예,문장 끝,네
아니다,이,아니야
아니다,가,아니야
아니다,None,아니에요
아니다,문장 끝,아닙니다
고맙다,None,고마워요
고맙다,에,고마워요
고맙다,을,고마워서
고맙다,를,고마워서
고맙다,문장 끝,고맙습니다
괜찮다,None,괜찮아요
괜찮다,에,괜찮아요
괜찮다,이,괜찮아요
괜찮다,문장 끝,괜찮습니다
먹다,None,먹다
먹다,을,먹고
먹다,를,먹고
먹다,문장 끝,먹습니다
모르다,을,몰라서
모르다,를,몰라서
모르다,문장 끝,모릅니다
알다,을,알고
알다,를,알고
알다,문장 끝,압니다
미안하다,에,미안해요
미안하다,을,미안해서
미안하다,를,미안해서
미안하다,문장 끝,미안합니다
돕다,을,도와드릴까요?
돕다,를,도와주세요
돕다,문장 끝,돕습니다
아프다,에,아파요
아프다,문장 끝,아픕니다
오랜만,None,오랜만이에요
오랜만,문장 끝,오랜만입니다
마시다,을,마셔요
마시다,를,마셔요
마시다,문장 끝,마십니다
맛있다,을,맛있어서
맛있다,를,맛있어서
맛있다,문장 끝,맛있습니다
맛없다,을,맛없어서
맛없다,를,맛없어서
맛없다,문장 끝,맛없습니다
잠시,None,잠깐만
짧다,을,짧아서
짧다,문장 끝,짧습니다
좋다,을,좋아서
좋다,를,좋아서
좋다,문장 끝,좋습니다
나쁘다,을,나빠서
나쁘다,문장 끝,나쁩니다
싫다,을,싫어서
싫다,를,싫어서
싫다,문장 끝,싫습니다
우울하다,에,우울해요
우울하다,문장 끝,우울합니다
슬프다,에,슬퍼요
슬프다,문장 끝,슬픕니다
걱정하다,을,걱정해서
걱정하다,이,걱정돼요
걱정,문장 끝,걱정됩니다
화나다,에,화가 나서
화나다,가,화가 나서
화나다,문장 끝,화가 납니다
긴장하다,을,긴장해서
긴장하다,이,긴장돼요
긴장하다,문장 끝,긴장됩니다
